Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
3	Aus welchem Teil des Kakaobaums wird Kakaopulver hergestellt?	aus der Rinde	von seiner Wurzel	aus seiner Ernte	aus der Knospe	C	BIOLOGIE
4	Was verlieren Jumurdsas in den Sternen von Egri?	sein Amulett	sein jatagan	sein Glaube	sein Kaftan	A	LITERATUR
5	Welche Waffe steckt im Titel der Actionfilmreihe mit Mel Gibson?	totlich	Kalt	zum Schweigen gebracht	teleskopisch	A	FILM
6	Wie heisst der treue Diener der Familie Toldi in Aranys Werk?	George	Ben	Tibor	Bulcsu	B	LITERATUR
7	Wie nennt KRESZ die mit gebremsten Radern befahrene Strasse?	Bremsweg	Tracking-Entfernung	Bremsweg	Vorgehensweise	C	ALLGEMEINES
8	Welche zwei Raumschiffe haben sich zum ersten Mal zu einer experimentellen Raumstation zusammengeschlossen?	Wostok-3 und Sojus 2	Apollo und Wosztok-3	Apollo und Pioneer-4	Sojus-4 und Sojus-5	D	ALLGEMEINES
9	Welches Land ist kein Mitglied der NATO?	Polen	Island	Irland	Portugal	C	ALLGEMEINES
10	Bei welcher Fussball-Europameisterschaft erreichte Ungarn den 3. Platz?	die aus Italien im Jahr 1968	die aus Spanien im Jahr 1964	der Belgier von 1972	von Frankreich in den 1960er Jahren	B	SPORT
1	Aus welchem Land stammt der Tanz namens Samba?	Aus Island	Aus Indien	Aus Brasilien	aus Frankreich	C	LaNDER
2	Mit was fur Tieren schlafen laut dem Sprichwort Menschen, die fruh ins Bett gehen?	mit den Eulen	mit den Fledermausen	mit den Huhnern	mit den Schweinen	C	SPRACHE
3	Wie war Sandor Petofis ursprunglicher Name?	Sandor Petnehazi	Alexander Petrowitsch	Sandor Petofia	Sandor Peterffy	B	LITERATUR
4	Zu welchem Kuchenbetrieb gehort Dampfen?	Backen	Konserven	Geschirr spulen	Wurze	B	KuCHE
5	Wer war bis 1939 Fred Astaires haufigster Tanzpartner in Filmen?	Vivien Leigh	Olivia de Havilland	Ingwer Rogers	Judy Girlande	C	FILM
6	Wessen Witwe hat der griechische Geschaftsmann Onassis geheiratet?	Jean Gabin	Arthur Muller	JF Kennedy	Fred Astaire	C	ALLGEMEINES
7	Wie war der ursprungliche Name des Apostels Paulus?	Samuel	Solomon	Saul	Simeon	C	RELIGION
1	Welche der folgenden ist der Name einer Vogelart?	Fruhlingsschnee	Sommerhaus	Winterschnee	Weihnachtsmann	C	BIOLOGIE
2	Was ist laut Petofis bekanntem Gedicht heller als eine Kette?	der hant	der Wille	das Schwert	das Malz	C	LITERATUR
3	Wo lebten die griechischen Gotter?	auf Parnassos	auf Helikon	auf Olymp	in Dodon	C	RELIGION
4	Wer hat die Ballade uber die fette Margot geschrieben?	Wladimir Wyssozki	Goldener Johannes	François Villon	John Milton	C	LITERATUR
5	Welches unserer Dorfer wurde zum Weltkulturerbe erklart?	Haus der Raben	Sirak	Rabenstein	Lustvoll	C	UNGARN
6	Wo klingelt und grunzt Vidrockis beruhmter Schwarm nach dem Lied?	in Matra	in Bakony	in Cserhat	in Mecsek	A	LITERATUR
7	Wie viele Goldmedaillen gewann der amerikanische Schwimmer Mark Spitz bei den Olympischen Spielen in Munchen?	sechs	Woche	funf	acht	B	SPORT
8	Frau Sirimavo Bandaranaike war Premierministerin welchen Landes?	Philippinen	Indien	Pakistan	Sri Lanka	D	GESCHICHTE
9	Wie war der ursprungliche Name von Hanna Honthy, der legendaren Operetten-Primadonna?	Hont Dawn	Anna Horvath	Hugel Dawn	Anna Hagler	C	OPER
10	Wie nannte der Volksmund die Epiphanie?	letztes Glas Getranke	die Taufe	Weihe der Ernte	der erste Bissen der Mahlzeiten	A	SPRACHE
1	Auf welche Bank wurden fruher schlechte Schuler gesetzt?	Esel	Katze	Affe	Tragheit	A	ALLGEMEINES
2	Wie heisst die franzosische Komodie "Ich bin schuchtern, aber …"	von Frauen verfolgt	Ich gehe zur Therapie	Ich will erobern	Ich mochte abhangen	C	FILM
3	Wo trugen unsere Vorfahren den preussischen Rock?	auf der Oberseite des Kopfes	am Oberkorper	am Handgelenk	am Bein	B	SPRACHE
4	In welche Stadt fuhrt die beruhmte Golden Gate Bridge?	San Francisco	Los Angeles	Boston	New York	A	LaNDER
5	Wie war der gemeinsame Name der russischen Bauern?	Bojaren	Musik	Troikas	Dackel	B	SPRACHE
6	Von wem stammt das Zitat? "Zuhause vor allem anderen."	Sandor Petofi	Mihaly Vorosmarty	Ferenc Kolcsey	Ferenc Rakoczi	C	GESCHICHTE
1	Was fur ein Pferd nennen wir ein Gebet?	die Dunne	der dickhaarige	die schuhlosen	das Schaukelpferd	A	ALLGEMEINES
2	Was hat eine Varga genaht?	Mantel	Tischdecken	Vorhange	Schuhwerk	D	ALLGEMEINES
3	Wie nennt man den heissblutigen, herzerwarmenden mediterranen Mannertyp, der in Filmen vorkommt?	Spanischer Hidalgo	herzzerreissender Widder	hellenischer Hurrikan	lateinischer Liebhaber	D	ALLGEMEINES
4	Was beurteilen die Schiedsrichter beim Wasserball, wenn der Spieler den Ball ins Netz schiesst?	wegwerfen	ein Tor geschossen	zweiminutige Ausstellung	4 Meter	B	SPORT
5	Wie hiess der einfache Taschenrechner der alten Romer?	Infinitesimalrechnung	Abakus	Lira	Lenia	B	GESCHICHTE
6	Es kann auch der Name eines Fisches mit Spitzensaum und Stachelflossen sein ...	Brachsen	Einstecktuch	Spaten	Gecko	C	ALLGEMEINES
7	In welchem Jahr wurde der neue Forint in Ungarn eingefuhrt?	im Jahr 1948	im Jahr 1950	im Jahr 1946	im Jahr 1949	C	GESCHICHTE
1	Wer oder was ist ohne Dornen, sagt das Sprichwort?	Kaktus	Rose	Schwiegermutter	Igel	B	SPRACHE
2	Was ist ein Tamburin?	Susswasserfisch	Persische Volksgruppe	Instrument	Asiatisches Wildpferd	C	SPRACHE
3	Welcher Heilige passt zum Adjektiv "Drachentoter"?	Heiliger Laszlo	Sankt Georg	Heiliger Andreas	Heiliger Augustinus	B	RELIGION
4	Wie nennt man die Jungenrollen, die normalerweise von Schauspielerinnen gespielt werden?	Rolle binden	Rock Rolle	Cap-Rolle	Hose Rolle	D	THEATER
5	Welche Spirituose wird dem Grog zugesetzt?	Wodka	Borovicka	Rum	Wermut	C	KuCHE
6	Wer wurde der eierkopfige Belgier genannt?	Konig Balduin	Enzo Scifot	Maurice Maeterlinck	Hercule Poirot	D	ALLGEMEINES
7	In welcher Stadt waren die Papste im 14. Jahrhundert "gefangen"?	Canossa	Ravenna	Reims	Avignon	D	GESCHICHTE
8	Wessen Sohn war der persische Konig Xerxes?	Zu Darius	Daidalos	zu Xenophon	nach Xanthippe	A	GESCHICHTE
9	Wer schrieb eine Oper nach der Geschichte von Jancsi und Juliska?	Pjotr Iljitsch Tschaikowsky	Giacomo Meyerbeer	Engelbert Humperdinck	Gioacchino Rossini	C	OPER
1	Was ist der Paternoster?	Spitzname des Grossvaters	Gartenspass der Priester	kreisformiger Personenaufzug	Beichtstuhl	C	ALLGEMEINES
2	Mit welchem weiblichen Namen konnen wir die Flora eines bestimmten Gebiets ausdrucken?	Zu Leonore	Anastasia	Flora	Notfall	C	BIOLOGIE
3	Welches Tier soll neun Leben haben?	zur Maus	fur den Hund	zur katze	zum Pferd	C	ALLGEMEINES
4	"Ich sagte, Mann: Kampfe und vertraue mit Zuversicht!" Wer sagt das in Die Tragodie des Menschen?	Adam	Vorabend	Luzifer	der Herr	D	LITERATUR
5	Aus welchem Material besteht Pergament?	aus Papyrusschlamm	aus Tierhaut	aus Zedernrinde	aus dem Darm von Tieren	B	TECHNIK
6	Welche der folgenden Aussagen ist falsch?	Nicht mein Tisch	Zieht den Streifen	Er schnitt seine Axt in schweres Holz	Sie verkaufen auf einer Matte	C	SPRACHE
7	Wo konnen Sie das Grab von Konig Andras I. sehen?	in der Basilika von Esztergom	in den Ruinen von Szekesfehervar	in der Abtei Tihany	in der Matthiaskirche	C	GESCHICHTE
8	Unter welchem Namen wurde Gautama Siddhartha bekannt?	Vishnu	Schiwa	Brahma	Buddha	D	RELIGION
9	Welche Schlacht ist nicht mit dem Namen Alexander des Grossen verbunden?	Gaugamela	Salami	Granikos	Issos	B	GESCHICHTE
1	Wo ist die Wahrheit, so das Sprichwort?	im Bier	im Gesetzbuch	im Wein	beim proktor	C	SPRACHE
2	Andras Kerns erster Film als Regisseur wurde nach welchem Eis benannt?	Tiramisu	Tarantella	Stracciatella	Cappuccino	C	FILM
3	"Als ob in Herbstnachten ein Hirtenfeuer brennt..." Welches Werk beginnt so?	Johannes ist mutig	Fugen Sie es hinzu	Csongor und Tunde	Inselgefahr	B	LITERATUR
4	In welchem Krieg spielt das Musical Hair?	Golfkrieg	II. Weltkrieg	Vietnamkrieg	Koreanischer Krieg	C	MUSIK
5	Was fur ein Erfrischungsgetrank besingt das frohliche Madchen in einem der Hits der 60er?	uber Limonade	uber Himbeersirup	uber Cola	uber Bambi	D	MUSIK
6	Wer hat das heutige New York City gegrundet?	Englische Gefangene	Irische Bauern	Niederlandische Siedler	Spanische Eroberer	C	GESCHICHTE
7	Welcher unserer Schriftsteller war die Frau von Roza Laborfalvi, einer beruhmten Schauspielerin ihrer Zeit?	Kalman Mikszath	Mor Jokai	Pal Gyulai	Da ist Geza	B	LITERATUR
8	Wer war der Kanzler der DDR, als 1961 die Berliner Mauer gebaut wurde?	Willi Brandt	Ludwig Erhard	Helmut Schmidt	Konrad Adenauer	D	GESCHICHTE
9	Was hat die Hausfrau gekocht, wenn sie žyrok gemacht hat?	Pasta	Spargel	Artischocke	Taube	B	KuCHE
1	Was sagen sie uber einen Menschen, der unbemerkt geht: "Er verschwindet wie der ..."	Kampfer	Kantor	Zahler	Kondor	A	SPRACHE
2	Welche Farbe hatte der Bart des deutschen Kaisers Friedrich Barbarossa?	blond	Schwarz	Rechts	rosa	C	GESCHICHTE
3	Welcher der folgenden ist ein Frostheiliger?	Boldizzar	Theophilus	Bonifatius	Kleophas	C	RELIGION
4	Welchen Beruf hat edes Anna in Kosztolanyis Roman?	Darstellerin	Dienstmadchen	Lehrer	Susswarenverkaufer	B	LITERATUR
5	Aus welchem Material besteht Michelangelos David?	Basalt	Granit	Marmor	Bronze-	C	BILDENDE KUNST
6	Aus welchem der Folgenden hat Puskas Tivadar den Weltersten gemacht?	Grammophon	Spark-Recorder	Telefon wahlen	Telefonzentrale	D	TECHNIK
7	Aus welchen Tierhaaren besteht Mohairgarn?	Angoraziege	Vikunja	Chinchilla	Dromedar	A	ALLGEMEINES
1	Was ass der Lebende laut dem Sprichwort Gutes?	Speck	sein Brot	rote Zwiebel	Filet	B	SPRACHE
2	Was ist der Kraftstoff fur Dieselmotoren?	Benzin	Benzol	Dieselkraftstoff	Methan	C	TECHNIK
3	Wie nennt man die langlichen, verdickten Hinterbeine von Flohen?	Chirrup Fuss	eingekerbter Fuss	springendes Bein	Klopfen der Knie	C	BIOLOGIE
4	Wie heisst der Abenteuerfilm von Gerard Philipe? "... meine Frau"	Hexe	Prinzessin	duster	Zigeunermadchen	B	FILM
5	Wie heisst das Hotel, das Rousseau zugeschrieben wird?	Dem Konigreich gegenuber!	Sich der Volksherrschaft stellen!	Zuruck zur Natur!	Zuruck aus der Natur!	C	LITERATUR
6	Wie wird der Zustand vollkommener Entspannung in der buddhistischen Religion genannt?	Karuna	heute	Nirwana	Mudita	C	RELIGION
7	Die beruhmte Arena welchen europaischen Fussballvereins heisst Bernabeu-Stadion?	Benfica	Olympique Marseille	FC Barcelona	Real Madrid	D	SPORT
8	Nach wem ist das Schauspielermuseum in Budapest benannt?	Mari Jaszai	Bayerisches Gizi	Bla Lujza	Gobi Hilde	B	THEATER
9	Wer war Bill Clintons republikanischer Gegner bei den Wahlen von 1996?	Al Gore	Ross Perot	Robert Dole	Michael Dukakis	C	GESCHICHTE
1	Was ist nach dem Sprichwort die Folge von langsamem Gehen?	Wir kommen spater an	wir warmen uns nicht auf	der lahme Hund holt auf	wir werden weiter reifen	D	SPRACHE
2	Welche Stadt wird die "Stadt der Lagunen" genannt?	Venedig	Rio de Janeiro	Neapel	Hamburg	A	LaNDER
3	Wie heisst Fredis Frau in der Zeichentrickserie The Flinstones?	Illa	Irma	Vilma	Helge	C	FILM
4	In welcher ungarischen Stadt startete Ende der 70er Jahre die Band Edda?	Unze	Debrecen	Miskolc	Szolnok	C	MUSIK
5	Was hat Lorand Eotvos erfunden?	der Transformator	das Torsionspendel	die Dampfsage	der Zerstauber	B	TECHNIK
6	Wer war die Liebe des beruhmten Philosophen Abelard?	Isolde	Heloise	Laura	Beatrice	B	LITERATUR
7	Welches Grundelement fehlt der chinesischen Astrologie?	Feuer	Erde	Stein	Baum	C	ALLGEMEINES
1	Was halten sie von einer unerwunschten Person?	seine Seele	Jahrgang	Haar	Beine	B	SPRACHE
2	Was hat der Lehrer in den Checker des Schulers geschrieben, wenn der Schuler falsch geantwortet hat?	zweite	zweitrangig	Abschnitt Tour	zweitrangig	A	ALLGEMEINES
3	Was fur ein Vogel ist ein Albatros?	Amphibie	uberlebende	maritim	verkruppelt geflugelt	C	BIOLOGIE
4	Wessen Marchen stecken im Titel von Offenbachs Oper?	Andersen	La Fontaine	Hoffmann	Grimm	C	OPER
5	Wer war der erste Papst?	Sankt Nikolaus	Sankt Paul	Pius I	Sankt Peter	D	RELIGION
6	Welche Pflanze ist nicht mit dem Kurbis verwandt?	Gurke	Zucchini	Cantaloup-Melone	Avocado	D	BIOLOGIE
7	Wen nennen wir Hidalgos?	Japanische Kampfkunstler	alte Bruckenbauer	Spanische Adlige	Franzosische Revolutionare	C	SPRACHE
8	In welchem Jahr wurde das Nepstadion ubergeben?	im Jahr 1952	im Jahr 1953	im Jahr 1950	im Jahr 1955	B	SPORT
9	Wer spielte Richard Lowenherz im Film Robin Hood, Prince of Thieves?	Gregor Peck	Marlon Brando	Sean Connery	Jack Nicholson	C	FILM
10	Was passiert nach dem Gedicht Kesei sirato von Jozsef Attila mit dem, was die Mutter gebar?	alle verschwinden irgendwann	sie alle scheitern irgendwann	Alle sind am Ende enttauscht	sie alle finden am Ende ihre Heimat	C	LITERATUR
11	Zu welcher Pflanzenfamilie gehort die Lotusblume?	magische Nusse	Venusfliegenfallen	Ringelblumen	Lilienbaume	C	BIOLOGIE
12	Wer ist der Maler, dessen haufiges Thema der Marktplatz in Sevilla war?	Caravaggio	Goja	El Greco	Velazquez	D	BILDENDE KUNST
1	Wer oder was zeichnet wahrend des Fluges die technischen Daten des Flugzeugs auf?	die Stewardess	der weisse Wurfel	die schwarze Kiste	der Zauberwurfel	C	TECHNIK
2	Wie viele Scheiben gibt es in einer Muhle im gleichnamigen Spiel?	von zwei	von vier	von drei	von sieben	C	SPIEL
3	Welcher Vogel sagt "bald" in Edgar Allan Poes Gedicht?	Papagei	Rabe	carvallo	Krahe	B	LITERATUR
4	Wer grundete den ersten Kindergarten in Ungarn?	Georgina Kratochwill	Maria Theresia	Teresa von Braunschweig	Brandenburg Barball	C	GESCHICHTE
1	Wer oder was halt laut Sprichwort jemanden davon ab, den Wald zu sehen?	vom Berg	vom Jager	vom Hirsch	Vom baum	D	SPRACHE
2	Welches ist der lebensspendende Fluss agyptens?	Jordanien	Euphrat	Ganges	Nil	D	ERDKUNDE
3	Wofur wurde die Tasse verwendet?	zum Zahlen	zum Reisen	fur Kaffee	Musik zu machen	B	SPRACHE
4	Unter welchem Titel hat Roman Polanski einen Vampirfilm parodiert?	Der junge Frankenstein	Interview mit dem Vampir	Tanz der Vampire	Der Vater der Vampire	C	FILM
5	Was fur ein Tier ist der Fischadler?	Raubtier	Meeresfisch	Vogel	Nagetier	C	BIOLOGIE
6	Wer hat sein Erstgeburtsrecht fur eine Schussel Linsen verkauft?	Isaak	Jacob	Esau	Elisa	C	RELIGION
7	Welcher Volkstanz ist die Polka?	ukrainisch	Polieren	Tschechisch	bulgarisch	C	LaNDER
1	Was passiert mit Pinocchio in der Geschichte, wenn er lugt?	seine Nase wachst	blinzelt haufig	seine Ohren strecken sich	beginnt zu humpeln	A	LITERATUR
2	Wie lautet der Spitzname des Hunnenprinzen Attila?	pferdefressender Barbar	Steppenhyane	schwefeliger Gottespfeil	die Geissel Gottes	D	GESCHICHTE
3	Was suchen die "pferdelosen" Ritter des Fussgalopps?	der Excalibur	Der Heilige Gral	Parip von Konig Artus	die heilige Kuh	B	FILM
4	Welche der aufgefuhrten ist die grosste Insel in Ungarn?	Insel Szentendre	Margareteninsel	Insel obuda	Insel Csepel	D	ERDKUNDE
5	Was hatte das antike romische Kind, wenn es "Stil" hatte?	Wachstafel	Schreibgerat	Taschenrechner	seine blaue Toga	B	GESCHICHTE
6	Wie heisst das aus der Serie "Friends" bekannte Ehepaar Kertesz?	Kriszta und Miklos	Moni und Gezu	Magdi und Vili	Esther und Misi	C	ALLGEMEINES
7	Was gehort zu den Zutaten der steirischen Beschneidung?	Huttenkase	Kakao	Marmelade	Nussbaum	A	KuCHE
1	Jeno Huszka schrieb eine Operette uber welchen Namen des Prinzen?	Rechnung	Bob	Jo	Sam	B	OPER
2	Wie heissen sie Schaschlik?	Adlerhorst	Jagdwaffe	aufgespiesstes Fleischgericht	Fernglas	C	SPRACHE
3	Wozu hat Robin Hood die Schurken gefuhrt?	die schottischen Highlands	Sherwood Forest	das Sudmoor	das Hafenviertel	B	LITERATUR
4	Welcher der folgenden ist der Titel eines Theaterstucks von Plautus?	Der Freiheitssoldat	Der Soldat in den Siebzigern	Der fuhrende Soldat	Die karierte Armee	B	LITERATUR
5	Was wurden die Olympiasieger bei den antiken griechischen Spielen belohnt?	mit tausend Drachmen pro Kopf	mit einem Kranz aus Olivenzweigen	mit Goldbarren	mit Siegesstatuette	B	GESCHICHTE
6	Wer schrieb die Texte zu den Liedern von Levente Szorenyis Rockoper Attila, das Schwert Gottes?	John Brody	Sandor Lezsak	Elia Lajos	Bela Tolcsvay	B	MUSIK
1	Wo ist die "Medizin" nach Volksweisheit?	in Salz und Pfeffer	bei Bier und Wein	in Gras und Baumen	im Waldfeld	C	SPRACHE
2	In welchem Teil eines Hauses spielt das 1987 aufgefuhrte Musical von Gabor Presser?	im Keller	in der Garage	auf dem Dachboden	im Treppenhaus	C	MUSIK
3	Wo wurde 1848 die erste Schlacht des ungarischen Unabhangigkeitskrieges ausgetragen?	Du wurdest picken	Bei Pisk	Bei Schwechat	Bei Trenzen	A	GESCHICHTE
4	Wen von den walisischen Barden hatten sie in Aranys Gedicht verherrlichen sollen?	Henrik	Richard	Eduard	George	C	LITERATUR
5	Die folgenden Wortverbindungen werden im Alltag haufig verwendet. Welche Konjunktion ist falsch?	eine zu grosse Wand	ergreifende Frage	schwere Nuss	in einer Muschel geboren	C	SPRACHE
6	Der Regimewechsel welchen mittel- und osteuropaischen Landes im Jahr 1989 wird als "Samtene Revolution" bezeichnet?	Ungarn	Tschechoslowakei	Polen	Rumanien	B	GESCHICHTE
7	In welchem der folgenden Bereiche hat Noemi Ferenczy einen Weg von Weltklasse geschaffen?	Keramik	Tapisserie	Terrakotta	Mosaik-	B	BILDENDE KUNST
8	Das Album welcher Popsangerin heisst "True Colors"?	Carly Simon	Cyndi Lauper	Susanne Wega	Gloria Estefan	B	MUSIK
9	Welcher der folgenden Planeten hat keinen Mond?	Mars	Jupiter	Venus	Neptun	C	WISSENSCHAFT
1	Wer ist zweimal mude, sagt das Sprichwort?	der Rest	die unverantwortlich	das genaue	der Postbote	A	SPRACHE
2	Was macht die Grille in La Fontaines Marchen "Die Grille und die Ameise"?	sammelt	stiehlt Kase	er spielt Geige	springt und springt	C	LITERATUR
3	Welche Farbe ist nicht in der Flagge Italiens?	grun	rot	blau	Weiss	C	LaNDER
4	Welche Gruppe hat ein Lied uber die heroischen Tage des Radios Szol a radio mit dem Refrain geschrieben?	Grammophon	Lokomotive GT	Metro	V'Moto-Rock	B	MUSIK
5	Dessen Bundnis war das XIII-XVII. Jahrhundert, die Hanse?	Russische Fischer	Englische Entdecker	Deutsche Handelsstadte	Portugiesische Kolonisten	C	GESCHICHTE
6	Bei welchen Olympischen Spielen haben wir die meisten Goldmedaillen gewonnen?	Helsinki 1952	Melbourne 1956	London 1948	Mexiko-Stadt 1968	A	SPORT
7	Aus wessen Gedichten entstand Andrew Lloyd Webbers Musical Cats?	Tim Reis	E. T. Hoffmann	EA Poe	T.S. Eliot	D	MUSIK
8	In welcher Oper konnen wir "Levelaria" horen?	Puccini: Manon Lescaut	Puccini: Toska	Verdi: Rigoletto	Verdi: Traviata	B	OPER
9	In welchem Teil unseres Korpers befinden sich Stifte und Stabchen?	im Ohr	im Zahn	in der Nase	das Gegenteil	D	BIOLOGIE
1	Wohin fahrt der Dampfer nach dem Text des Kinderliedes?	blinde Spur	Nach Kanizsa	ins Parkhaus	ruiniert	B	LITERATUR
2	Welches der folgenden besteht aus Chitin?	die Panzerung von Kriegsschiffen	Rustung der Ritter	Rustung von Arthropoden	die Panzerung von Tresoren	C	ALLGEMEINES
3	Welches Land wird das "Land der aufgehenden Sonne" genannt?	Australien	China	Indien	Japan	D	LaNDER
4	Aus welchem Material bestanden die beruhmten chinesischen Soldatenstatuen, die ausgegraben wurden?	aus Lehm	aus Kalkstein	aus Bronze	aus Gips	A	ALLGEMEINES
5	Wie heisst der grossohrige Elefant im Walt Disney Zeichentrickfilm?	Jabar	Dumbo	Jumbo	Babar	B	FILM
6	Wer schrieb die Operette "Die Konigin der Wirte"?	Jr. Johann Strauss	Jeno Huszka	Imre Kalman	Ferenc Lehar	C	OPER
7	Wie heisst Svejks Lieblingskneipe?	Krug	Kelch	Der Witz ist ein Seemann	Ferencjoska	B	LITERATUR
8	Wo wurde Konigin Elisabeth von Ungarn 1898 ermordet?	in Genf	in Marseille	Korfu	Kreta	A	GESCHICHTE
9	Welche Rolle spielte Paul Newman im Western Butch Cassidy and the Sundance Kid?	Viehhirte	Rauber	Sheriff	Bar-Pianist	B	FILM
10	Mit welcher Band hat Zsuzsa Koncz zum ersten Mal gesungen?	Omega-Ensemble	Elia-Ensemble	Metro-Ensemble	Bergendy-Ensemble	A	MUSIK
1	Was macht einen Meister aus, sagt das Sprichwort?	Meisterprufung	ubung	sehnig	Werbung	B	SPRACHE
2	Um welches Fieber geht es in Charlie Chaplins beruhmtem Film?	uber Myalgie	uber Fieber	uber Goldrausch	zum Thema Taschenfieber	C	FILM
3	Was machen Mexikaner mit Tequila?	sie musizieren damit	sie trinken es	als Hut getragen	sie essen es	B	LaNDER
4	Wie heisst der Diener der Hauptfigur in Mihaly Vorosmartys Csongor und Tunde?	Er ist ungeschickt	Bamba	Satz	Suta	A	LITERATUR
5	Aus welchem Material besteht das Horn des Nashorns?	Knochen	Scheisse	verhartete Haut	versteinerter Kalk	B	BIOLOGIE
6	Wie lautet der alte Name von Abessinien?	Iran	Spanien	Ceylon	athiopien	D	LaNDER
7	Welcher Fisch schwimmt in einer fast senkrechten Haltung?	Seeigel	Kaulquappe	Fledermausfisch	Seepferdchen	D	BIOLOGIE
8	Wer hat "Perckeringo" geschrieben?	Franz Liszt	Lanner	Jr. Johann Strauss	Chopin	D	OPER
1	Warum messen wir die Zeit nicht?	mit einer Sanduhr	mit Taschenuhr	mit Sonnenuhr	mit Hirtenuhr	D	ALLGEMEINES
2	Welcher Korperteil oder welches Organ ist fur Cyrano de Bergerac grosser als der Durchschnitt?	Ohr	Fuss	Leber	Nase	D	LITERATUR
3	Wo finden wir den BUX-Index?	bei der Manikure	in Borsennachrichten	Fahrprufung	fur Nachdiplomstudenten	B	ALLGEMEINES
4	Der Anfangsbuchstabe des Namens welcher Stadt ist im Namen der FIAT-Autofabrik enthalten?	Turin	Alexandria	Komm schon	Florenz	A	LaNDER
