Difficulty	Question	THE	B	C	D	Answer	Category
4	The Brandenburg Gate is the symbol of which German city?	Munich	Berlin	Dresden	Hamburg	B	COUNTRIES
5	How many whole notes are there in a whole octave?	ten	eight	twelve	six	B	OPERA
6	What was the name of the first Balaton steamboat?	Martinovic	Diver Kund	Szechenyi	Small village	D	HUNGARY
7	Which of the listed countries does not have the color red in its flag?	Austria	China	Israel	Canada	C	COUNTRIES
8	What animal did Anthony Hopkins fight in Prisoners of the Wild?	with a bear	with a cougar	with wolverines	with a coyote	A	MOVIE
9	Charlie Horvath was the singer of which legendary band?	Coral	Generate	Omega	Pyramid	B	MUSIC
10	What is the title of Ingmar Bergman's classic film? "The seventh..."	cross	woman	seal	knight	C	MOVIE
11	Which animal makes trips similar to the mole?	mongoose	earth dog	krill	shrew	B	BIOLOGY
12	What architectural monuments are there in Zsurko and Nyírbator?	Gothic church ruin	Land castle from the conquest period	boat-shaped headstock	wooden bell tower	D	HUNGARY
1	What is the summary name for pictures depicting fruits and flowers?	flora painting	photo	still life	hush sketch	C	FINE ARTS
2	What invention is attributed to Samuel Colt?	a rifle with a scope	a cannon	revolver	a hunting knife	C	TECHNIQUE
3	What is the name of the little boy in Winnie the Pooh?	Oliver Twist	Robert Gida	Peter Pan	Tom Sawyer	B	LITERATURE
4	Who was the captain of Kszeg's castle defenders?	Miklos Jurisics	Gergely Bornemisssa	Pal Kinizzi	Gyorgy Klapka	A	HISTORY
5	Which theater is the director of Gyula Bodrogi?	Microscope Stage	Comedy	Fun Stage	Operetta Theater	C	THEATER
6	Who designed the steamer Clermont launched in 1807?	George Stephenson	Robert Fulton	Oszkar Asboth	James Watt	B	TECHNIQUE
7	Which is the smallest country in the world?	Monaco	Vatican	San Marino	Singapore	B	COUNTRIES
8	In which present-day area did the Dacians live in ancient times?	in Tuscany	In Egypt	in Transylvania	in Greece	C	HISTORY
9	From which card game did bridge evolve?	rummy	whist	poker	squeals	B	GAME
1	Where, according to the saying, does one who stumbles look for lumps?	on snow	poop	kiss	sorrel	B	LANGUAGE
2	Which of the following words represents the stock market?	hall	plaza	stock exchange	atrium	C	GENERAL
3	What do they do with the dodoll?	they play music on it	plowed up	they eat it	they shoot him	C	LANGUAGE
4	Whose flags had the words "pro libertate" on them?	Miklos Zrínyi	II. Ferenc Rokoczi	Lajos Kossuth	Antal Nagy Budai	B	HISTORY
5	Which bird does the statement literally apply to? "Drinks like a bitch."	to the ostrich	the flamingo clock	to the pelican	on the stork	C	BIOLOGY
6	Who was the Nyíregyhaza theater named after?	Ferenc Kolcsey	Ferenc Mora	Zsigmond Moricz	Soldier Jozsef	C	THEATER
7	In which county is Hollok located?	Fierce	Komarom-Esztergom	Nograd	Borsod-Abauj-Zemplen	C	GEOGRAPHY
8	Which of the following is added to the broth of poached eggs?	oil	vinegar	sugar	bay leaf	B	KITCHEN
1	What runway do planes take off from?	finisher	runway	outgoing	artificial ice	B	TECHNIQUE
2	What tree did Adam and Eve cover themselves with in Paradise?	apple tree	fig tree	pear tree	Oak tree	B	RELIGION
3	Which chemical element name indicates a type of zinc?	manganese	iron	zinc	coal	D	BIOLOGY
4	What is the name of the US Department of War building?	Capitol	Pentagon	Metropolitan	White House	B	GENERAL
5	What does ubering mean in the card?	division	uppercut	drag	counting	B	GAME
6	According to the Bible, who did the Lord appoint to deliver the people of Israel from Egyptian captivity?	Abraham	David	Moses	Jesus	C	RELIGION
7	What was the maiden name of the famous Hungarian actress Deryne?	Julia Vojda	Roza of Laborfalvi	Julia Szendrey	Roza Szeppataki	D	THEATER
8	Who composed the music for the Brandenburg Races?	Georg Friedrich Handel	Johann Sebastian Bach	Antonio Vivaldi	Georg Philipp Telemann	B	OPERA
9	How do the heroes of Night on Earth travel around the world?	by tram	on the train	by taxi	on the subway	C	MOVIE
10	Why is the pub in Petfi's poem kurta?	very small	it is open in the evenings	it is open from autumn to spring	it is on the border of the village	C	LITERATURE
1	Whose brass cannon is flourishing according to the folk song?	Sandor Rozsa	Vak Bottya	Bem dad	aron Gabor	D	LITERATURE
2	What do you call the role of the innocent young girl in a play?	buff	comedy	ingenue	femme fatale	C	THEATER
3	What can we choose from in a library?	perfumes	things to read	clothes	children's toys	B	LANGUAGE
4	What is trim?	clip holding clothes together	old passport	cord decorating a dress	high boots	C	LANGUAGE
5	In which sport did Henrietta onodi win a gold medal at the 1992 Barcelona Olympics?	in swimming	in a kayak-canoe	in fencing	in gymnastics	D	SPORTS
6	In which Hungarian city is the Rippl-Ronai Museum located?	Zalaegerszeg	Kaposvar	Pecs	Szeged	B	HUNGARY
7	Who was the first Secretary General of the United Nations?	U Thant	Trygve Lie	Dag Hammarskjold	Perez de Cuellar	B	HISTORY
8	What saved the lives of the defenders of the Capitol in 387 when the Gauls attacked?	torrential rain	the cackling of the sacred geese	minor earthquake	a returning legion	B	HISTORY
1	By which part of the body is the deceived person led?	by the ear	by the nose	by the little finger	by the hair	B	LANGUAGE
2	What kind of drinks are spritzes made of?	wine and soda	rum and coke	vodka and orange	beer and brandy	A	KITCHEN
3	Who among the following wears a space suit?	I'm looking forward to it	divers	hang gliders	rock climbers	B	GENERAL
4	In which sport do the competitors fight each other in mouth guards and head guards?	wrestling	fencing	judo	boxing	D	SPORTS
5	In which group of signs does KRESZ classify the "Avoid direction" sign?	danger signal	prohibited	giving instructions	giving information	C	GENERAL
6	Who played the female lead in the 1964 film version of the musical My Fair Lady?	Barbara Streisand	Liza Minnelli	Audrey Hepburn	Shirley MacLaine	C	MOVIE
7	Who was the childhood tutor of Mor Perczel, the general of the War of Independence?	Orlai Petrich Soma	Ferenc Erkel	Mihaly Vorosmarty	Lajos Kossuth	C	HISTORY
8	Which part of the beef is the intestine?	the kidney steak	the high back	the white steak	the round scarf	A	KITCHEN
9	Which country is closest to the South Pole?	Republic of South Africa	Chile	Argentina	New Zealand	B	GEOGRAPHY
10	What was the title of Madonna's first album?	Like a Virgin	True Blue	Madonna	You Can Dance	C	MUSIC
11	What is the name of Tatjana's brother in Anyegin?	Irina	Masha	Olga	Natasha	C	LITERATURE
12	The Munkacsy Museum is a landmark of which Hungarian city?	Szeged	Sopron	Bekescsaba	Veszprem	C	HUNGARY
1	What "path" can we see in the starry sky?	milk	coffee	Skin	water	A	GENERAL
2	Who is in the title of the Golden Ballad?	Courage mom	Ms Agnes	Mari Toth	Aunt Kato	B	LITERATURE
3	What is the seat of Tolna county?	Trouble	Kaposvar	Paks	Szekszard	D	GEOGRAPHY
4	Who is the five-time Olympic champion swimmer who became known as Tarzan?	Mark Spitz	Matt Biondi	Mike Burton	Johnny Weissmuller	D	SPORTS
5	Which famous romantic movie does Ryan O'Neal star in?	Love Story	Far from Africa	Vacation in Rome	A man and a woman	A	MOVIE
6	To whom did Saint Stephen write his admonitions?	to his nephew	to his son	his Spaniards	For Koppany	B	HISTORY
7	Whose stage plays did Kurt Weill regularly compose music for?	Eugene Ionesco	Samuel Beckett	Konstantin Stanislavsky	Bertolt Brecht	D	OPERA
8	In which European city is Wawel located?	in Berlin	in Krakow	in Prague	in Bratislava	B	COUNTRIES
1	What is the name of the chocolate-addicted, chubby bird known from the fairy tale?	Geza Gombolyag	Glucose Atanaz	odon Gomboc	Artur Gomboc	D	LITERATURE
2	What does an outlier do?	he does garden work	plays a musical instrument	awkwardly tense	he plays sports outdoors	B	LANGUAGE
3	What kind of art is Ivan Marko a representative of?	folk singer	pianist	ballet dancer	puppeteer	C	ART
4	To whom do we attribute the saying? "I am the state."	Franz Joseph	XIV. Louis	Napoleon	Cromwell	B	HISTORY
5	Diamond is a crystallized version of which chemical element?	ratio	iron	coal	phosphorus	C	SCIENCE
6	Who was the founder of the Jesuit order?	Saint Francis of Assisi	Ferenc Xavier	Saint Ignatius of Loyola	Saint Thomas Aquinas	C	RELIGION
7	Old Trafford is the famous ground of which football club?	Chelsea	Liverpool	Manchester United	Nottingham Forest	C	SPORTS
8	In which country can they vote for Likud?	in Cyprus	in the Republic of South Africa	in Israel	in New Zealand	C	COUNTRIES
9	Which of the following is not a white grape variety?	girl	sprinkler	riesling sylvan	blue collared	B	KITCHEN
10	With which painting did Mihaly Munkacsy win a gold medal in Paris in 1870?	Tear makers	Yawning butler	House of Mourning	Night vagabonds	C	FINE ARTS
11	Which of the following female names was not in the title of a Fassbinder film?	Petra von Kant	Katharina Blum	Effi Briest	Veronika Voss	B	MOVIE
1	What do you call a member of a series that stands out in some way in puzzles?	chicken egg	sparrow egg	cuckoo egg	swallow's egg	C	GENERAL
2	What lady's name does Laszlo Aradszky say goodbye to in his well-known hit: "Isten veled dese..."?	Little Red	Irene	My Zsuzsika	My gizik	A	MUSIC
3	How many points can the scoring judges give in figure skating?	10	7	6	5	C	SPORTS
1	What kind of "ear" can a book have?	friend	rabbit	donkey	mouse	C	GENERAL
2	What is worth its weight in gold, according to the saying?	December frost	May rain	July heat wave	September breeze	B	LANGUAGE
3	What do you call an unacceptable serve in tennis?	King	lower	ace	upper	C	GAME
4	What is gersli?	mistletoe	peeled barley pearls	kind of pork cheese	Paloc master knitter	B	LANGUAGE
5	What language was the Koran written in?	Latin	Arabic	Hindi	Hebrew	B	RELIGION
6	Attila Jozsef did not attend the university of which city?	Paris	Heidelberg	Vienna	Szeged	B	LITERATURE
1	In which sport is a target photo used?	in chess	in figure skating	in tower jumping	flat running	D	SPORTS
2	Which animal is famous for occasionally burying its head in the sand?	Mallard	ostrich	egret	starling	B	BIOLOGY
3	Which of the following is also a clothing and food name?	dumps	tuber	suba	sobriquet	A	LANGUAGE
4	Why did Tennessee Williams write a play about a sweet bird?	the desire	the agent	the happiness	the youth	D	LITERATURE
5	Which fruit is the base of marzipan?	walnut	hazelnut	almond	sour cherry	C	KITCHEN
6	In which biblical character's dream does a ladder leading to heaven appear?	Isaac	Job	Jacob	Joseph	C	RELIGION
7	Who traveled on the Mayflower?	Magellan's ships	the first American settlers	the Onassis family	Captain Cook's sailors	B	HISTORY
8	Who wrote a ballet about Spartacus, the leader of the Roman slave revolt?	Stravinsky	On the way	Shostakovich	Prokofiev	B	ART
1	According to the saying, what is in the throat of someone who is distressed by crying?	noodles	his stature	pie	dumpling	D	GENERAL
2	In Zsigmond Moricz's poem, what did the two little oxen from Iciripicir get up to?	iciripiciri small poppy	iciripiciri small pumpkin	iciripiciri for small beer	iciripiciri for small cow	B	LITERATURE
3	Which of the following male animals can also be a type of beer?	Bull	drake	Capricorn	kan	C	LANGUAGE
4	How did Miklos Toldi show Palatine Laczfi the way to Buda?	with a pitchfork	with a heavy bar	with a sword	with a compass	B	LITERATURE
5	The landmark of which city is the "Blue Mosque"?	Damascus	Jerusalem	Istanbul	Mecca	C	COUNTRIES
6	Who among our Olympic champion athletes below did not win a gold medal in the hammer throw?	Balazs Kiss	Jozsef Csermak	Miklos Nemeth	Gyula Zsivotzky	C	SPORTS
1	What means of transport is typical for Venice, Italy?	rubber mattress	kayak	water bike	gondola	D	COUNTRIES
2	What is the name of Sherlock Holmes' constant companion?	dr. Doolittle	dr. Watson	dr. Bubo	dr. Albanian	B	LITERATURE
3	Who sang the hit "Rock around the clock"?	Elvis Presley	Bill Haley	Bob Dylan	Levente Szorenyi	B	MUSIC
4	Which ancient city did the Greeks take with the help of a horse?	Babylon	Troy	Rome	Pergamon	B	HISTORY
5	Where is the beret worn?	arm	on foot	in the neck	on the head	D	GENERAL
6	Which play did the National Theater play on March 15, 1848?	The Tragedy of Man	Sorry, sorry	The partisans	Csongor and Tunde	B	THEATER
7	What is the name of Anna Karenina's seducer?	Lensky	Oblomov	Bezuhov	Vronsky	D	LITERATURE
8	Which planet was researched by the American Viking spacecraft?	Uranus	Jupiter	Mars	Venus	C	SCIENCE
1	What pedestrian cuckoo was in the title of the cartoon?	marathon	stirrup runner	fast-paced	supersonic	B	MOVIE
2	What is the proverbial curse of a bad neighborhood?	Tatar	Turkish	labanc	kun	B	LANGUAGE
3	We II. Hungarian king Ulaszlo's popular name?	Laszlo the righteous	Laszlo Szep	Laszlo Bolcs	Laszlo Dobzse	D	HISTORY
4	Which country's crown colony is Gibraltar?	Spain	The Netherlands	Great Britain	Morocco	C	COUNTRIES
5	How many minutes in an hour?	30 minutes	15 minutes	60 minutes	45 p.c	B	LANGUAGE
6	Which of the following words describes sweet champagne?	gross	dry	sec	doux	D	KITCHEN
7	Who wrote the lyrics of the bordal performed by Petur ban in the Erkel opera?	Soldier Jozsef	Egressy Beni	Mihaly Vorosmarty	Jozsef Bajza	C	OPERA
8	Which of the following planets does not have a moon?	Mars	Mercury	Neptune	Pluto	B	SCIENCE
9	What kind of person is in the title of Musil's famous novel?	faceless	without a past	faithless	featureless	D	LITERATURE
10	What is one of the typical dishes of Japanese cuisine, tofu?	soy sauce	bamboo shoot	soy curd	long grain rice	C	KITCHEN
11	Which animal is not a marsupial?	opossum	couscous	pele	wombat	C	BIOLOGY
1	Whose hat does the rain fall on "ring"?	Lajos Kossuth	Palatine Jozsef	Franz Joseph	II. Joseph	A	LITERATURE
2	What purpose does the Louvre, the former palace of the French kings, currently serve?	hospital	museum	court	presidential residence	B	COUNTRIES
3	Which of the following is a pantyhose?	cattle lost in reeds	poisonous plant	the trouser legs are old fashioned	marsh rat	B	LANGUAGE
4	Who opened a dog store under Harap utca three according to the poem?	Dog-nosed Atanaz	Dog-eared Aladar	Balamber with a dog's heart	Dog-headed Clement	B	LITERATURE
5	What part of the beef is tripe stew made from?	from liver	from his kidneys	from his stomach	from his chest	C	KITCHEN
6	Which of the following countries is not a member of the European Union?	Switzerland	Austria	Finland	Luxembourg	A	COUNTRIES
7	Which great rock musician composed the music for The Lion King?	Rod Stewart	David Bowie	Stevie Wonder	Elton John	D	MOVIE
8	Who was not a member of the 1992 Barcelona Olympic gold medalist women's kayak foursome?	Erika Geczi	Rita Kban	Eva Donusz	Gypsy Kinga	A	SPORTS
1	What part of the toad is used to make food?	from the flesh of her breast	from his thigh	from the liver	from its web	B	KITCHEN
2	What is a troika?	Siberian dog breed	plucked instrument	triple horse tooth	Trojan kid	C	LANGUAGE
3	Which celestial body was explored by the Soviet Luna probes?	the day	Pluto	the Venus	the moon	D	SCIENCE
