Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
2	Hol dolgozik a krupie?	szinhazban	jetekkaszinoban	muzeumban	loversenypalyan	B	aLTALaNOS
3	Melyik operettet jatsszak hagyomanyosan szilveszterkor?	Egy ej Velenceben	A vig ozvegy	A denever	Csardaskiralyno	C	OPERA
4	Melyik foldreszen nem rendeztek meg olimpiai jatekokat?	eszak-Amerikaban	Ausztraliaban	azsiaban	Afrikaban	D	SPORT
5	Hol elnek a renszarvasok?	az esoerdokben	a szavannakon	az eszaki sarkkor tajan	a Deli sarkkor tajan	C	BIOLoGIA
6	Erdelyben jarva pityokaval kinalnak. Mit fogok fogyasztani, ha elfogadom?	barackpalinkat	krumplit	mezes sutemenyt	nagyfroccsot	B	KONYHA
1	Milyen nyelvnek szokas nevezni az argot?	tolvaj	smasszer	gengszter	orzo-vedo	A	NYELV
2	Kinek kell elsokent belepnie egy etterembe hagyomanyosan az illem szerint?	a legidosebb nonek	a legfiatalabb nonek	a ferfinak	a kisgyermeknek	C	aLTALaNOS
3	Az alabbiak kozul melyik allat kepes gyorsan megvaltoztatni a szinet szukseg eseten?	a sarki roka	a kameleon	a levelibeka	a varanusz	B	BIOLoGIA
4	Hol jatszodik Bohumil Hrabal capriccioja?	Capri-szigeten	egy vonaton	egy sorgyarban	Banska Bystrican	C	IRODALOM
5	Melyik ismert vadnyugati regeny szereploje Old Shatterhand?	Az utolso mohikan	Winnetou	Borharisnya	Vadolo	B	IRODALOM
6	Melyik amerikai elnoknek kellett lemondania a Watergate-botrany miatt?	Gerald Ford	Jimmy Carter	Lyndon Johnson	Richard Nixon	D	ToRTeNELEM
7	Mive valtoztatta Kirke Odusszeusz tarsait?	kove	sobalvannya	gyermekke	disznova	D	IRODALOM
8	A felsoroltak kozul melyik nem utohangszer?	triangulum	xilofon	marimba	spinet	D	OPERA
9	Minek a feltalalasat tulajdonitjak Perignon francia szerzetesnek?	a burgundi bor	a mustar	a pezsgo	a trappista sajt	C	KONYHA
10	Melyik nep nagy uralkodoja volt Montezuma?	maja	aztek	inka	eszkimo	B	ToRTeNELEM
11	Melyik Wagner-operaban szerepel tobbek kozott cipesz, otvos, badogos es pek?	a Lohengrin	A bolygo hollandiban	a Tannhauserben	A nurnbergi mesterdalnokokban	D	OPERA
1	Mi er aranyat a mondas szerint?	az aranyeso	a majusi eso	az onos eso	a penzeso	B	NYELV
2	Az alabbiak kozul melyik nem novenynev?	tatika	kancsoka	articsoka	kacsoka	D	BIOLoGIA
3	Az alabbiak kozul mit neveznek lajbinak?	bicskat	ferfi posztokabatot	tejesedenyt	vizhordo embert	B	NYELV
4	Milyen orvos volt a Veszhelyzetbol ismert Ross doktor?	sebeszorvos	altatoorvos	fogorvos	gyermekorvos	D	aLTALaNOS
5	Mibol keszul a puliszka?	buzadarabol	rozslisztbol	kukoricalisztbol	finomlisztbol	C	KONYHA
6	Hogy hivtak az utolso magyar kiraly feleseget?	Erzsebet	Zita	Katalin	Gizella	B	ToRTeNELEM
7	Kik ittak eloszor csokoladet?	a sumerok	az aztekok	a sziamiak	az etiopok	B	KONYHA
1	Hogyan tunik el a nyomtalanul elveszo dolog?	arkon-bokron	sebbel-lobbal	szoren-szalan	fulen-farkan	C	NYELV
2	Az alabbi kartyajatekok kozul melyiket lehet egyedul jatszani?	kanaszta	marias	pasziansz	romi	C	JaTeK
3	Kibol vagy mibol van a torveny altal megengedettnel tobb a bigamistanak?	hazastarsbol	utitarsbol	lakasbol	gepkocsibol	A	aLTALaNOS
4	Mi a cime Radvanyi Geza klasszikus filmjenek?	Europa sziveben	Valahol Europaban	Europa expressz	A karmester	B	FILM
5	A kozepkorra jellemzo tarsadalmi rendet feudalizmusnak nevezzuk. Mi volt a feudum?	adofajta	vasbanyaszati eljaras	huberbirtok	kiralyi testulet	C	ToRTeNELEM
6	Milyen gyumolcsfajta kapta az Idared nevet?	gorogdinnye	alma	korte	szilva	B	BIOLoGIA
7	Mi a csello kozkeletu masik neve?	bracsa	gordonka	hegedu	nagybogo	B	OPERA
8	Hol oltek meg Lincoln amerikai elnokot?	egy nyitott autoban	egy szinhazban	az utcan	egy nagygyulesen	B	ToRTeNELEM
9	Kik laktak a Potala palotaban?	a japan csaszarok	az egyiptomi fopapok	a dalai lamak	az inka uralkodok	C	ToRTeNELEM
10	Ki a noi tornasport legeredmenyesebb olimpikonja?	Nadia Comaneci	Olga Korbut	Keleti agnes	Larisza Latinyina	D	SPORT
1	Milyen a szolas szerint az az ember, akinek kopog a szeme?	ehes	rovidlato	szemfules	parafenomen	A	NYELV
2	Az alabbiak kozul melyik lehet holgy megnevezese es tablajatek neve is?	donna	dama	diva	diabolo	B	JaTeK
3	Mi a kapcsolat Kolumbusz es Santa Maria kozott?	a felesege neve	az edesanyja neve	a hajoja neve	altala alapitott varos	C	ToRTeNELEM
4	Ki irt balettet egy diotororol?	Schubert	Csajkovszkij	Rimszkij-Korszakov	Delibes	B	MuVeSZET
5	Kik uleseznek a washingtoni Capitolium epuleteben?	az ENSZ kepviseloi	a titkosszolgalat vezerkara	regeszprofesszorok	a Kongresszus tagjai	D	aLTALaNOS
6	Mi folott repult at elsokent, egyedul es megallas nelkul Charles Lindbergh?	Csendes-ocean	Himalaja	Atlanti-ocean	La Manche csatorna	C	aLTALaNOS
1	Az alabbiak kozul melyik egy sutemeny neve?	bakterfank	suszterretes	vargabeles	bakamaz	C	KONYHA
2	Hogyan neveztek az uzletek bejarata fole kifuggesztett cegtablat?	cehlap	fuggveny	ceger	logo	C	aLTALaNOS
3	Melyik varos nepszeru szorakoztato negyede a Prater?	Parizs	Munchen	Pozsony	Becs	D	ORSZaGOK
4	Milyen munkat vegzett a prokator?	orvosi	kereskedoi	ugyvedi	fuvarozoi	C	NYELV
5	Mi tartozik az erdeklodesi korebe annak az embernek, aki impalakkal foglalkozik?	kezimunkazas	barkacsolas	klasszikus epiteszet	egy allatfajta	D	NYELV
6	Ha egy betegseget nadallyal gyogyitottak, mi volt a "csodaszer"?	kanalas orvossag	pioca	kamillatea	iszapfurdo	B	BIOLoGIA
7	Ki gyozott a Falkland-szigetekert folytatott haboruban 1982-ben?	Franciaorszag	Argentina	Spanyolorszag	Nagy-Britannia	D	ToRTeNELEM
8	Ki Titania a Szentivaneji alom cimu Shakespeare-muben?	amazonkiralyno	atheni ifju holgy	tunderkiralyne	windsori vig no	C	IRODALOM
9	Melyik hires sportolononk irt konyvet "Sirni csak a gyozteseknek szabad" cimmel?	Egerszegi Krisztina	Elek Ilona	Szekely eva	Gyarmati Andrea	C	SPORT
10	Milyen zsiraf szerepel Salvador Dali hires kepen?	harantcsikos	langolo	nyolclabu	ketfeju	B	KePZoMuVeSZET
11	Hol nyugszik Korosi Csoma Sandor?	Lhaszaban	Nagykoroson	Dardzsilingben	ujdelhiben	C	aLTALaNOS
12	Ki a zeneszerzoje A keresztapa cimu 1974-es, Oscar-dijas filmnek?	Ennio Morricone	Sergio Leone	Nino Rota	John Barry	C	FILM
13	Melyik operaban hangzik el a "Ragalomaria"?	Rossini: A sevillai borbely	Verdi: Rigoletto	Verdi: Otello	Mozart: Don Giovanni	A	OPERA
1	Mivel almodik az ehes diszno a mondas szerint?	korpaval	makkal	tappal	pocsolyaval	B	NYELV
2	Milyen "tanar ur" a cimszereploje Koltai Robert filmjenek?	bamba	ambar	habar	szambas	B	FILM
3	Melyik var epitesenel falaztak be Komives Kelemennet?	Dregely	Eger	Deva	Visegrad	C	IRODALOM
4	Mi volt a neve a XIX. szazad '70-es eveiben sikert sikerre halmozo csodakancanak?	Fecske	Szelvesz	Kincsem	Raro	C	SPORT
5	Mit csinal a horgasz, amikor szakol?	bedobja a horgot	kiemeli a halat	beeteti a halat	megsuti a halat	B	aLTALaNOS
6	Az orosz embert regen muszkanak neveztek. Mi a muszka szo eredete?	Moszkva varosa	egy puliszkaszeru etel	a sziberiai usankanyul	egy kicsike labbeli	A	NYELV
1	Melyik testreszrol neveztek el az idomertekes verseles legkisebb ritmikai egyseget?	kez	lab	hat	has	B	IRODALOM
2	Mi a neve a rajzfilmhos Kukori "tyukjanak"?	Pelyheske	Kopasznyak	Kotloska	Kotkoda	D	FILM
3	Mi London folyoja?	Rajna	Szajna	Rhone	Temze	D	FoLDRAJZ
4	Az alabbiak kozul melyiket fedezte fel Charles Goodyear?	a kaucsuk vulkanizalasat	a hoallo uveget	a parafint	a nitroglicerint	A	TECHNIKA
5	Kik haziasitottak a macskat?	az inkak	kozepkori szerzetesek	a kalandozo magyarok	az egyiptomiak	D	ToRTeNELEM
6	Mit adott a tanar a diakoknak, amikor kiszabta a penzumot?	osztalyzatot	intot	lecket	egerutat	C	NYELV
7	Ki volt a magyar orszaggyules elnoke 1994 es 1998 kozott?	Gal Zoltan	Szabad Gyorgy	Goncz arpad	Pozsgay Imre	A	ToRTeNELEM
8	Melyik magyar varost neveztek "Bodrog-parti Athen"-nak?	Tokaj	Satoraljaujhely	Sarospatak	Tolcsva	C	MAGYARORSZaG
9	Milyen italrol irt kantatat J. S. Bach?	kave	tea	bor	sor	A	OPERA
1	A szolas szerint mi "savanyu" annak, aki nem tud elerni valamit?	a szilva	az uborka	a kaposzta	a szolo	D	NYELV
2	Mit neveznek indianernek?	vadbolenyt	bekepipat	sutemenyt	satortipust	C	NYELV
3	Hany masodperc van egy oraban?	360	3600	60	1000	B	aLTALaNOS
4	Melyik orszagban epult a hires Tadzs Mahal?	Kina	India	Egyiptom	Pakisztan	B	ORSZaGOK
5	Mit neveznek regiesen ispotalynak?	az iskolat	az istallot	a korhazat	a kozseghazat	C	NYELV
6	Hogyan nevezik az elefant utodjat?	pulya	borju	gida	csiko	B	BIOLoGIA
7	Mi szokott lenni Szent Peter kezeben az ot abrazolo kepeken?	palca	rozsafuzer	esernyo	kulcs	D	VALLaS
1	Hol van a hegedus a hires musical cime szerint?	felemas cipoben	a hegyteton	a hazteton	a pacban	C	ZENE
2	Melyik szomszedos nepet nevezzuk sogoroknak?	a szlovakokat	a romanokat	a szerbeket	az osztrakokat	D	ORSZaGOK
3	Melyik tantargy nem tartozik a realtantargyak koze?	bologia	matematika	fizika	tortenelem	D	aLTALaNOS
4	Mi az ebedem es a vacsoram az Elindultam szep hazambol cimu nepkoltes szerint?	kenyer	bu	fu	szel	B	IRODALOM
5	Melyik allam zaszlajaban szerepel az orszag terkepe?	Libanon	Mongolia	Japan	Ciprus	D	ORSZaGOK
6	Mit neveztek kamaslinak?	a teaskannat	a csokornyakkendot	a viragcsokrot	a bokavedot	D	NYELV
1	Hogyan szol a trefas mondas? "Veszek neked toronyorat ..."	toronyorrel	ingaval	lanccal	masodpercmutatoval	C	NYELV
2	Ki a zeneszerzoje a "Jezus Krisztus szupersztar" cimu rock-operanak?	Leonard Bernstein	Presser Gabor	Galt McDermott	Andrew Lloyd Webber	D	ZENE
1	Mibe vagja a fejszejet a mondas szerint, aki nehez feladatba kezd?	fuszalba	suru cserjebe	nagy faba	korhadt tuskoba	C	NYELV
2	Mit hallgat a suket ember a szaraz to partjan a gyermekdalban?	tucsokciripelest	vizcsobogast	kuruttyolast	walkmant	C	IRODALOM
3	Mi a cime Bud Spencer es Terence Hill nagy sikeru vigjatekanak: "Kulonben ..."	babot eszunk	duhbe jovunk	pofont osztunk	hasra esunk	B	FILM
4	Milyen adot tartalmaz az afas szamla?	allami forgalmi	altalanos forgalmi	atlagos fix	altalanos forras	B	aLTALaNOS
5	Mire hasznaltak eredetileg a szakajtot?	teszta kelesztesere	lovak patkolasara	bor erlelesere	tyukok etetesere	A	NYELV
6	Kik ajandekoztak a New York-i Szabadsag-szobrot az Egyesult allamoknak?	az angol uralkodohaz	a francia nep	az indian oslakok	a nemet nep	B	ToRTeNELEM
7	Mibol keszul a konyak?	cukornadbol	torkolybol	gabonabol	borparlatbol	D	KONYHA
8	Ki vezette a vesztes seregeket 1848 oszen a pakozdi csataban?	Bem	Gorgey	Metternich	Jellasics	D	ToRTeNELEM
9	Melyik szinesznonk kezdte palyafutasat gyermekszineszkent?	Karady Katalin	Gobbi Hilda	Ruttkai eva	Tolnay Klari	C	SZiNHaZ
1	Milyen embereknek nevezik a konnyubuvarokat?	balna	beka	capa	raja	B	aLTALaNOS
2	Milyen het faja volt az elnevezes szerint a magyar kisnemeseknek?	fuge	alma	szil	szilva	D	aLTALaNOS
3	Mit csinal egy hajo, amikor a matrozok kidobjak az ankert?	megszabadul a potyautastol	elindul	lehorgonyoz	nagyobb sebessegre valt	C	aLTALaNOS
4	Melyik allattal kerestetik meg a szarvasgombat?	macskaval	disznoval	menyettel	szarvassal	B	BIOLoGIA
5	Ki volt az apja a tragikus sorsu Szent Imre hercegnek?	Szent Laszlo	Geza fejedelem	Szent Istvan	arpad fejedelem	C	ToRTeNELEM
6	Mi a cime Fellini vandormutatvanyosokrol szolo vilaghiru filmjenek?	Az edes elet	Orszaguton	Cabiria ejszakai	Amarcord	B	FILM
7	Hogyan szol a Julius Caesar cimu dramaban elhangzo szalloige: "... talalkozunk!"	a Rubiconnal	Philippinel	Galliaban	a piramisoknal	B	IRODALOM
8	Melyik europai felfedezo ert eloszor tengeren Indiaba?	Vasco da Gama	Kolumbusz Kristof	James Cook	Bartolomeo Diaz	A	ToRTeNELEM
9	Milyen palinka a roman eredetu cujka?	szilva	barack	boroka	eper	A	KONYHA
10	Melyik kepzomuveszeti iranyzat legismertebb kepviseloje volt Vasarely?	pop-art	op-art	dadaizmus	funkcionalizmus	B	KePZoMuVeSZET
11	Minek volt az istennoje a gorog mitologiaban Nemezis?	kolteszet	csaladi beke	ujjaszuletes	megtorlas	D	VALLaS
12	Melyik darabbal nyitottak meg a Nemzeti Szinhaz elodjenek szamito Pesti Magyar Szinhazat?	Csongor es Tunde	Az ember tragediaja	arpad ebredese	Bank ban	C	SZiNHaZ
1	Mit vettem a vasarban felpenzzel a nepkoltes szerint?	vattacukrot	mezeskalacsot	tyukot	fel disznot	C	IRODALOM
2	Az alabbiak kozul melyik a tatika masik elnevezese?	tigrispilla	pumapamacs	hienalab	oroszlanszaj	D	BIOLoGIA
3	Melyik uzletagban erdekelt a Dallasbol ismert Ewing csalad?	versenylotenyesztes	olajipar	filmforgalmazas	whiskyfogyasztas	B	FILM
4	Az alabbiak kozul melyik egy csavaranyatipus?	parizsi	frankfurti	hollandi	kolni	C	NYELV
5	Melyik telepulesunkon lathato a Salamon-torony?	Esztergomban	Nagyvazsonyban	Visegradon	Egerben	C	MAGYARORSZaG
6	Melyik nem huros hangszer az alabbiak kozul?	viola da gamba	citera	harfa	tuba	D	OPERA
7	Kinek az irasai alapjan keszitette Huszarik Zoltan Szindbad cimu filmjet?	Moricz Zsigmond	Kosztolanyi Dezso	Krudy Gyula	Szep Erno	C	FILM
8	Mit vagy kit neveztek regen bulbulnek?	torok egyhazi enekest	fertozo betegseget	rozsafajtat	csaloganyt	D	NYELV
9	Kinek a versebol szuletett Beethoven oromodaja?	Dante	Schiller	Horatius	Sheiley	B	OPERA
10	Melyik nem volt magyar varmegye neve?	Zolyom	Ung	Arad	Csakvar	D	ToRTeNELEM
11	Hany szemelyi hiba utan pontozodik ki egy kosarlabdazo?	negy	ot	harom	nincs kipontozodas	B	SPORT
12	Kinek a felesege volt Kozmutza Flora?	Jozsef Attila	Szabo Lorinc	Illyes Gyula	Fust Milan	C	IRODALOM
13	Kinek a szovege alapjan keszult Bartok Bela A csodalatos mandarin cimu muve?	Lengyel Menyhert	Balazs Bela	Herczeg Ferenc	Kassak Lajos	A	OPERA
14	Milyen orvoshoz fordulunk panaszunkkal, ha faj a fauxunk?	borgyogyaszhoz	urologushoz	fogorvoshoz	gegeszhez	D	BIOLoGIA
1	Milyen allat a lotetu?	kerodzo	hetpettyes	egyenes szarnyu rovar	lassu paripa	C	BIOLoGIA
2	Hogy nevezik a hazassagkotes hatvanadik evfordulojat?	rubintlakodalom	gyemantlakodalom	vaslakodalom	platinaeskuvo	B	aLTALaNOS
3	Melyik kiraly uj ruhajarol szol Ranki Gyorgy meseoperaja?	Arthur	Pomade	Burkus	Matyas	B	OPERA
4	Mi a cime Bujtor Istvan nagy sikeru filmjenek: "Csak semmi ..."	vesz	piknik	panik	duma	C	FILM
5	Hol keszul a hus, ha csoben sutik?	sutoben	szabad tuzon	roston	kuktaban	A	KONYHA
6	Mely varos boszorkanyairol irt szinmuvet Arthur Miller?	Burkitsville	Eastwick	Salem	Roxfort	C	IRODALOM
1	Melyik vak allat talal szemet a mondas szerint?	a lo	a tyuk	a vakond	a vakeger	B	NYELV
2	Hol all a kilenclyuku hid?	Szegeden	Bugacpusztan	Tokajban	a Hortobagyon	D	MAGYARORSZaG
3	Ki volt az egri var vedoinek kapitanya?	Szondi Gyorgy	Jurisics Miklos	Zrinyi Miklos	Dobo Istvan	D	ToRTeNELEM
4	Mire hasznaljak a printert?	aramfejlesztesre	nyomtatasra	kenyersutesre	monitortisztitasra	B	aLTALaNOS
5	Melyik versben szerepel az idezet? "Elhull a virag, eliramlik az elet..."	Reszket a bokor, mert...	Minek nevezzelek...	Szabadsag, szerelem!	Szeptember vegen	D	IRODALOM
6	Melyik orszag kulbirtoka Gronland?	Kanada	Dania	Norvegia	Svedorszag	B	ORSZaGOK
7	Melyik Beethoven-szimfoniaban hangzik fel az "oromoda"?	a III. szimfoniaban	a IX. szimfoniaban	a VI. szimfoniaban	az V. szimfoniaban	B	OPERA
8	Hogy hivtak abraham es Sara idos korukban szuletett gyermeket?	Izsak	Izmael	Rebekka	Lot	A	VALLaS
9	Melyik amerikai elnok kuldte vissza a magyar koronat?	Gerald Ford	Jimmy Carter	George Bush	Ronald Reagan	B	ToRTeNELEM
10	Hol laktak a kozepkorban a priorok?	kolostorban	kastelyban	remetelakban	a kiralyi udvarban	A	ToRTeNELEM
11	Mit jatszik az, aki iringal?	babazik	jegen csuszkal	hintazik	fogocskazik	B	NYELV
12	Honnan kapta a nevet a Plantagenet angol uralkodocsalad?	egy bokorfajta utan	egy agarfaj utan	egy kurtizan neve utan	egy pazsitfajta utan	A	NYELV
1	Hogy neveztek a babona szerint csodas tettekre kepes diakot?	grabancos	garasos	garaboncias	nagygaratu	C	NYELV
2	Mi a New Yorkban pusztito oriasmajom neve a klasszikus filmben?	Hong Kong	Godzilla	Me Kong	King Kong	D	FILM
3	Melyik virag egy Jokai-regeny cime?	ego pipacs	sarga rozsa	kek nefelejcs	lila orgona	B	IRODALOM
4	Melyik nep varosa volt az okorban Karthago?	pun	egyiptomi	asszir	sumer	A	ToRTeNELEM
5	Milyen izesitesu a Sacher-torta?	marcipan	mandula	csokolade	vanilia	C	KONYHA
6	Kiket vagy miket nevezunk regiesen filozoptereknek?	a szitakotoket	a helikoptereket	az okori filozofusokat	a bolcseszhallgatokat	D	NYELV
7	Melyik hegysegben fekszik Andorra?	az Alpokban	a Pireneusokban	az Andokban	a Karpatokban	B	FoLDRAJZ
8	Ki hangszerelte Muszorgszkij "Egy kiallitas kepei" cimu zongoradarabjat?	Rahmanyinov	Ravel	Rimszkij-Korszakov	Csajkovszkij	B	OPERA
1	Milyen allatnevvel illetik a huszar figurajat a sakkban?	tehen	tyuk	lo	kutya	C	JaTeK
2	Kit valasztott a koznemesseg kirallya a Duna jegen a hiedelem szerint?	Habsburg Matyast	Hunyadi Matyast	Habsburg Ferdinandot	Hunyadi Janost	B	ToRTeNELEM
3	Melyik meseben szerepelnek Nyuszi baratai es uzletfelei?	A bekakiralyfi	A roka es a nyul	Micimacko	A harom nyulak	C	IRODALOM
4	Melyik egyuttes szoloenekese Balazs Ferenc?	General	Apostol	Koral	Edda	C	ZENE
5	Honnan szarmazik az idezet? "Ha per, ugymond, hadd legyen per!"	Tizenket duhos ember	A fulemile	Bevezetes a buntetojogba	Sari biro	B	IRODALOM
6	Az alabbi elelmiszerek kozul melyik nem a majonez alapanyaga?	etolaj	tojassargaja	tojasfeherje	citromle	C	KONYHA
7	Hany bajt egy kilobajt?	1000	1024	1012	1036	B	TUDOMaNY
8	Milyen madarrol kapta nevet a Csillagok haborujaban Han Solo urhajoja?	kolibri	sas	solyom	albatrosz	C	FILM
9	Melyik Pest megye legnepesebb varosa?	Vac	Szentendre	erd	Cegled	C	MAGYARORSZaG
1	Mit nem arul a nyilt ember a szolas szerint?	petrezselymet	zsakbamacskat	pormacskat	gyekenyt	B	NYELV
2	Kiknek az egyenruhaja a liberia?	lakajok	pincerek	lovaszok	pilotak	A	aLTALaNOS
3	Hol szenvedett IV. Bela vereseget a tatar seregtol?	Mohacsnal	Muhinal	Trau szigetenel	Isaszegnel	B	ToRTeNELEM
4	Kirol neveztek el a szendvicset?	egy ir tengereszrol	egy francia enekesnorol	egy skot szakacsrol	egy angol grofrol	D	KONYHA
5	Milyen kisertetrol irt Oscar Wilde elbeszelest?	canterbury	canterville-i	edgehille-i	strawberry	B	IRODALOM
6	Melyik az a viz, amelyik csak az aranyat nem oldja?	kiralyviz	kristalyviz	aranyviz	valasztoviz	D	TUDOMaNY
1	Milyen hibat kovet el a gyermekversben Mehemed?	megfogja a tehen togyet	megfogja a tehen farkat	rossz tarsasagba keveredik	rossz lora tesz	B	IRODALOM
2	Milyen izu bananrol enekelt a Metro egyuttes?	menta	kave	csokolade	citrom	D	ZENE
3	Mit jelent a "dupla Lutz"?	osztrak ikerpar	nemet fenyopalinka	ugrasfajta a mukorcsolyaban	matematikai egyutthato	C	NYELV
4	Melyik telepulesunket nevezik a Huseg varosanak?	Koszeg	Sopron	Szekesfehervar	Esztergom	B	MAGYARORSZaG
5	Kinek a muvebol keszult az Isten hozta, ornagy ur! cimu film?	Fust Milan	Dery Tibor	orkeny Istvan	Mandy Ivan	C	FILM
6	Melyik orszagot nevezik latinul Helvecianak?	Csehorszagot	Franciaorszagot	Romaniat	Svajcot	D	ToRTeNELEM
1	Ki oregszik meg hamarabb a mondas szerint?	aki sokat eszik	aki kivancsi	aki koran szuletett	aki nem pletykas	B	NYELV
2	Milyen noi frizura a homlokba fesult, rovidre vagott fius hajviselet?	dama	pumi	puli	bubi	D	aLTALaNOS
3	A kakaofa melyik reszebol keszitik a kakaoport?	a kergebol	a gyokerebol	a termesebol	a rugyebol	C	BIOLoGIA
4	Mit veszit el Jumurdzsak az Egri csillagokban?	az amulettjet	a jataganjat	a hitet	a kaftanjat	A	IRODALOM
5	Milyen fegyver szerepel a Mel Gibson foszereplesevel keszult akciofilm-sorozat cimeben?	halalos	huvos	hangtompitos	tavcsoves	A	FILM
6	Mi a neve a Toldi csalad hu szolgajanak Arany muveben?	Gyorgy	Bence	Tiborc	Bulcsu	B	IRODALOM
7	Hogy nevezi a KRESZ a fekezett kerekekkel megtett utat?	fektavolsag	kovetesi tavolsag	fekut	cselekvesi ut	C	aLTALaNOS
8	Melyik ket urhajo osszekapcsolasaval hoztak letre elso izben kiserleti urallomast?	Vosztok-3 es Szojuz 2	Apollo es Vosztok-3	Apollo es Pioneer-4	Szojuz-4 es Szojuz-5	D	aLTALaNOS
9	Melyik orszag nem tagja a NATO-nak?	Lengyelorszag	Izland	irorszag	Portugalia	C	aLTALaNOS
10	Melyik labdarugo Europa-bajnoksagon ert el Magyarorszag 3. helyezest?	az 1968-as olaszorszagi	az 1964-es spanyolorszagi	az 1972-es belgiumi	az 1960-as franciaorszagi	B	SPORT
1	Melyik orszagbol szarmazik a szamba nevu tanc?	Izlandbol	Indiabol	Braziliabol	Franciaorszagbol	C	ORSZaGOK
2	Milyen allatokkal fekszik a mondas szerint a koran nyugovora tero ember?	a baglyokkal	a deneverekkel	a tyukokkal	a disznokkal	C	NYELV
3	Mi volt Petofi Sandor eredeti neve?	Petnehazi Sandor	Petrovics Sandor	Petofia Sandor	Peterffy Sandor	B	IRODALOM
4	Melyik konyhai muvelet resze a dunsztolas?	sutes	befozes	mosogatas	fuszerezes	B	KONYHA
5	Ki volt Fred Astaire leggyakoribb tancpartnere a filmekben 1939-ig?	Vivien Leigh	Olivia de Havilland	Ginger Rogers	Judy Garland	C	FILM
6	Kinek az ozvegyet vette felesegul Onasszisz gorog uzletember?	Jean Gabin	Arthur Miller	J. F. Kennedy	Fred Astaire	C	aLTALaNOS
7	Mi volt Pal apostol eredeti neve?	Samuel	Salamon	Saul	Simeon	C	VALLaS
1	Az alabbiak kozul melyik egy madarfajta neve?	tavaszapo	nyarapo	oszapo	telapo	C	BIOLoGIA
2	Mi fenyesebb a lancnal Petofi ismert verse szerint?	a hant	az akarat	a kard	a malaszt	C	IRODALOM
3	Hol laktak a gorog foistenek?	a Parnasszuson	a Helikonon	az Olumposzon	Dodonaban	C	VALLaS
4	Ki irt balladat Vastag Margot-rol?	Vlagyimir Viszockij	Arany Janos	Francois Villon	John Milton	C	IRODALOM
5	Melyik falunkat nyilvanitottak a vilagorokseg reszenek?	Hollohaza	Szirak	Holloko	Bujak	C	MAGYARORSZaG
6	Hol csorog-morog a Vidrocki hires nyaja a dal szerint?	a Matraban	a Bakonyban	a Cserhatban	a Mecsekben	A	IRODALOM
7	Hany aranyermet nyert Mark Spitz amerikai uszo a muncheni olimpian?	hatot	hetet	otot	nyolcat	B	SPORT
8	Melyik orszagban volt kormanyfo Sirimavo Bandaranaike asszony?	Fulop-szigetek	India	Pakisztan	Sri Lanka	D	ToRTeNELEM
9	Mi volt az eredeti neve Honthy Hannanak, a legendas operettprimadonnanak?	Honti Hajnalka	Horvath Anna	Hugel Hajnalka	Hagler Anna	C	OPERA
10	Mit nevezett a nepnyelv szentjanosaldasnak?	italozasok utolso poharat	a keresztelot	a termes megszenteleset	etkezesek elso falatjat	A	NYELV
1	Milyen padba ultettek regen a rossz tanulokat?	szamar	macska	majom	lajhar	A	aLTALaNOS
2	Mi a francia vigjatek cime: "Felenk vagyok, de ..."	uldoznek a nok	jarok terapiara	hoditani akarok	loditani akarok	C	FILM
3	Hol viseltek elodeink a pruszlikot?	a fejteton	a felsotesten	a csuklon	a labszaron	B	NYELV
4	Melyik varosba vezet a hires Golden Gate hid?	San Francisco	Los Angeles	Boston	New York	A	ORSZaGOK
